"id","category","surface","current_signature","disposition","target_contract","target_phase","owner","requirements","evidence","migration_guidance"
"CAN2-015","canonical","canonical.issue.due_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-016","canonical","canonical.issue.progress_percentage","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-017","canonical","canonical.issue.actual_start_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-018","canonical","canonical.issue.actual_end_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-019","canonical","canonical.issue.git_branches","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-020","canonical","canonical.issue.comments","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-021","canonical","canonical.issue.history","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-022","canonical","canonical.milestone.id","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-023","canonical","canonical.milestone.created","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-024","canonical","canonical.milestone.updated","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-025","canonical","canonical.milestone.retention","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-026","canonical","canonical.milestone.name","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-027","canonical","canonical.milestone.headline","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-028","canonical","canonical.milestone.content","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-029","canonical","canonical.milestone.status","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-030","canonical","canonical.milestone.relation","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-031","canonical","canonical.milestone.due_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-032","canonical","canonical.project.id","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-033","canonical","canonical.project.created","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-034","canonical","canonical.project.updated","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-035","canonical","canonical.project.retention","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-036","canonical","canonical.project.name","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-037","canonical","canonical.project.headline","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-038","canonical","canonical.project.content","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-039","canonical","canonical.project.status","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-040","canonical","canonical.project.priority","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-041","canonical","canonical.project.relations","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-042","canonical","canonical.project.owner","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-043","canonical","canonical.project.estimated_hours","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-044","canonical","canonical.project.start_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-045","canonical","canonical.project.target_end_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-046","canonical","canonical.project.actual_end_at","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-047","canonical","canonical.project.actual_hours","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-048","canonical","canonical.project.repository_url","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"OUT-001","output","output.tabledata.json-envelope","title;columns;rows;metadata","Preserve","JSON table output retains this envelope and column metadata; schema changes require versioning.","Phase 10","Maintainer","UR-008; UR-040; TR-013","roadmap/adapters/inbound/cli/models/output_models.py; roadmap/adapters/inbound/cli/output_formatter.py",""
"OUT-002","output","output.issue-list.columns","id;title;priority;status;progress;assignee;estimate;milestone","Preserve","Retain deterministic names, order, filtering, selection, and equivalent JSON/CSV values.","Phases 6 and 10","Maintainer","UR-018; UR-040; TR-013","roadmap/adapters/inbound/cli/issues/list.py",""
"OUT-003","output","output.milestone-list.columns","name;description;status;due_date;progress;estimate","Replace","Use stable milestone ID plus retained planning columns in versioned JSON/CSV schemas.","Phases 8 and 10","Maintainer","UR-027; UR-040; TR-013","roadmap/adapters/inbound/cli/milestones/list.py","Phase 9 migration introduces the stable milestone ID; consumers must select by documented column name."
"OUT-004","output","output.project-list.columns","id;name;status;priority;owner","Preserve","Retain deterministic names, order, filtering, selection, and equivalent JSON/CSV values.","Phases 8 and 10","Maintainer","UR-025; UR-040; TR-013","roadmap/adapters/inbound/cli/projects/list.py",""
"OUT-005","output","output.list.formats","rich;plain;json;csv;markdown","Preserve","Retain supported list/status formats; JSON and CSV are stable machine contracts while Rich/plain/Markdown preserve meaning, not styling.","Phase 10","Maintainer","UR-008; UR-040; TR-013","roadmap/adapters/inbound/cli/decorators.py",""
"OUT-006","output","output.issue-comment.formats","text;json","Preserve","Retain issue comment list text and JSON with stable comment identity, author, body, target, timestamps, and reply relation.","Phases 7 and 10","Maintainer","UR-022; TR-023","roadmap/adapters/inbound/cli/issues/comment.py",""
"OUT-007","output","output.health.formats","plain;json","Replace","Publish one versioned diagnostic schema with severity, scope, finding ID, message, and safe-action metadata.","Phase 10","Maintainer","UR-042; UR-043; TR-013; TR-033","roadmap/adapters/inbound/cli/health/commands.py","Phase 10 maps current health JSON into the documented diagnostic schema."
"OUT-008","output","output.data-export.formats","json;csv;markdown","Replace","Export canonical issue data through a versioned schema excluding internal paths, caches, credentials, and provider sync metadata.","Phase 10","Maintainer","UR-041; TR-032","roadmap/adapters/inbound/cli/data/commands.py","Consumers move to the documented 0.2 export schema; a schema/version marker identifies the contract."
"OUT-009","output","output.critical-path.formats","json;csv","Preserve","Retain deterministic critical-path JSON/CSV exports for the retained dependency graph.","Phase 10","Maintainer","UR-021; TR-013","roadmap/adapters/inbound/cli/analysis/commands.py",""
"EXIT-001","exit","exit.success","0","Preserve","Return 0 only when the requested operation or non-mutating empty result completes successfully.","Phase 3","Maintainer","UR-012; TR-004; TR-017","docs/architecture/adr/0006-validation-and-error-ownership.md",""
"EXIT-002","exit","exit.application-failure","inconsistent 0/1","Replace","Return 1 for validated user/data/operational failures after emitting actionable diagnostics.","Phase 3","Maintainer","UR-012; TR-004; TR-017","docs/architecture/adr/0006-validation-and-error-ownership.md","Scripts must stop treating failure prose with exit 0 as success."
"EXIT-003","exit","exit.usage-error","2","Preserve","Return Click-compatible usage status 2 for invalid command syntax or options.","Phase 3","Maintainer","UR-012; TR-004; TR-017","roadmap/adapters/inbound/cli/__init__.py",""
"STORE-001","storage","storage.issue.path","mutable status/milestone/title directories","Replace","Use flat .roadmap/issues/<complete-id>.md paths independent of mutable state.","Phase 5","Maintainer","UR-002; TR-030","docs/architecture/adr/0010-stable-id-based-canonical-paths.md","Phase 9 performs an idempotent layout migration with collision preflight and rollback evidence."
"STORE-002","storage","storage.milestone.path","name-based path","Replace","Use flat .roadmap/milestones/<complete-id>.md paths with name stored as content.","Phase 5","Maintainer","UR-003; TR-030","docs/architecture/adr/0010-stable-id-based-canonical-paths.md","Phase 9 introduces stable milestone IDs and migrates name-based references."
"STORE-003","storage","storage.project.path","short-id plus title path","Replace","Use flat .roadmap/projects/<complete-id>.md paths independent of title.","Phase 5","Maintainer","UR-003; TR-030","docs/architecture/adr/0010-stable-id-based-canonical-paths.md","Phase 9 preserves existing project IDs while normalizing the path."
"STORE-004","storage","storage.archive-layout","physical archive directories","Replace","Represent retention with canonical lifecycle metadata; do not move canonical files on archive/restore.","Phase 7","Maintainer","UR-002; UR-028; TR-021; TR-030","docs/architecture/adr/0008-lifecycle-independent-of-storage.md","Phase 9 moves archived legacy files to stable canonical paths and preserves archived state."
"STORE-005","storage","storage.sqlite-schema","tracked/local SQLite tables","Internal","SQLite remains disposable derived state with no public table or file-layout compatibility promise.","Phase 5","Maintainer","UR-037; TR-002; TR-029","docs/architecture/adr/0003-canonical-files-and-rebuildable-projections.md",""
"GIT-001","git","git.ordinary-collaboration","fetch;pull;merge-or-rebase;push performed by user","Preserve","Git remains the only repository synchronization and transport mechanism.","Phases 10-11","Maintainer","UR-007; UR-035; UR-036; TR-028","docs/architecture/adr/0002-git-owned-synchronization.md",""
"GIT-002","git","git.local-inspection","branch;worktree status;commit metadata","Preserve","Retain only narrow offline repository inspection required by explicit user journeys.","Phase 10","Maintainer","UR-029; UR-034; UR-039; TR-025","docs/architecture/adr/0002-git-owned-synchronization.md",""
"GIT-003","git","git.explicit-issue-branch","user-invoked branch creation/linking","Preserve","Retain explicit branch creation and ordinary canonical branch/commit references without hidden network operations.","Phase 10","Maintainer","UR-023; UR-032; TR-025","roadmap/adapters/inbound/cli/git/commands.py",""
"GIT-004","git","git.automatic-mutation","Roadmap-installed hooks and commit-message state changes","Remove","No Roadmap-owned automatic Git mutation in 0.2; the capability is deferred post-0.2.","Phase 11","Maintainer","UR-006; UR-030; UR-031; TR-026; TR-027","docs/architecture/roadmap-0.2.md","Use explicit Roadmap commands or user-owned scripts/hooks; no automatic status transition is migrated."
"GIT-005","git","git.provider-sync","GitHub/provider replication;baselines;reconciliation;credentials","Remove","No provider reconciliation subsystem or Roadmap remote credentials.","Phase 11","Maintainer","UR-007; UR-033; TR-028","docs/architecture/adr/0002-git-owned-synchronization.md","Use ordinary Git collaboration. Preserve useful external URLs/IDs only as ordinary references."
"MIG-001","migration","migration.v0.1.1-canonical","project;milestone;visible/closed/archived issues;dependency;comment;external IDs;Markdown","Preserve","Migrate 0.1.1 canonical meaning idempotently while preserving IDs, content, relations, and lifecycle state.","Phase 9","Maintainer","UR-048; TR-035","tests/fixtures/compatibility/v0_1_1",""
"MIG-002","migration","migration.sqlite-projection","projection.sql and rebuild","Internal","Discard or rebuild derived SQLite state; never use it as migration authority.","Phases 5 and 9","Maintainer","UR-037; UR-045; TR-029; TR-035","tests/fixtures/compatibility/v0_1_1/projection.sql",""
"REQ-001","requirements","requirements.csv-registers","governance CSV artifacts","Preserve","Keep user and technical requirement CSVs as governance/planning artifacts for 0.2.","Phase 1","Maintainer","TR-015","docs/requirements",""
"REQ-002","requirements","requirements.application-entities","first-class requirement CRUD/traceability feature","Remove","Not part of the 0.2 application; reconsider as a post-0.2 product slice.","Post-0.2","Maintainer","UR-049; UR-050; UR-051; UR-052; UR-053; UR-054; UR-055; UR-056; UR-057; UR-059","docs/requirements/REQUIREMENTS_AS_ARTIFACTS.md","Continue managing requirements in the checked-in CSV registers; no application migration occurs in 0.2."
